Whisky,Meta Critic,STDEV,#,Cost,Class,Super Cluster,Cluster,Country,Type
Glengoyne Cask Strength (batch 7),8.88,0.22,3,$$$$,SingleMalt-like,ABC,B,Scotland,Malt
Kilchoman PX Sherry Finish,8.88,0.19,7,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Springbank 12yo Cask Strength,8.88,0.29,26,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Aberlour A'Bunadh (Batch 46),8.87,0.09,5,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Macallan Reflexion,8.87,0.34,7,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt
Amrut PX Sherry Single Cask 3516 (SAQ),8.86,0.19,6,$$$$,SingleMalt-like,ABC,B,India,Malt
Ben Nevis 10yo (post-2017),8.86,0.36,9,$$,SingleMalt-like,ABC,C,Scotland,Malt
Compass Box This is Not a Luxury Whisky,8.86,0.46,15,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Glen Garioch 17yo Renaissance Chapter 3,8.86,0.32,3,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
GlenDronach Cask Strength (batch 3),8.86,0.26,9,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Laphroaig Cairdeas 2020 Port & Wine Casks,8.86,0.4,4,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Macallan 25yo Sherry Oak,8.86,0.45,9,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt
Scallywag 13yo,8.86,0.08,4,$$$$,SingleMalt-like,ABC,B,Scotland,Malt
Aberlour A'Bunadh (Batch 47),8.85,0.29,11,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Glen Garioch 1998 Wine Cask Matured,8.85,0.23,3,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
GlenDronach Cask Strength (all batches),8.85,0.16,25,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Glenrothes 25yo,8.85,0.48,5,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt
Kilchoman Loch Gorm,8.85,0.19,25,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Smogen Sherry Project 1:2,8.85,0.2,3,$$$$,SingleMalt-like,ABC,C,Sweden,Malt
White Oak Akashi 14yo,8.85,0.55,3,$$$$$+,SingleMalt-like,ABC,C,Japan,Malt
Aberlour A'Bunadh (Batch 66),8.84,0.21,6,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
AnCnoc 22yo,8.84,0.31,13,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Balblair 1990 (all releases),8.84,0.23,15,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
BenRiach 18yo Latada,8.84,0.17,8,$$$$$,SingleMalt-like,ABC,B,Scotland,Malt
GlenDronach 15yo Revival,8.84,0.27,27,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Longrow Red 11yo Port Cask,8.84,0.38,18,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Aberlour 12yo Non-Chill-Filtered,8.83,0.22,16,$$$,SingleMalt-like,ABC,B,Scotland,Malt
Bunnahabhain 14yo 2003 Pedro Ximenez Finish,8.83,0.55,15,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt
GlenDronach 12yo Sauternes Cask Finish,8.83,0.18,7,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
GlenDronach 18yo Allardice,8.83,0.37,29,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt
GlenDronach Cask Strength (batch 6),8.83,0.2,5,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Glenlivet Nadurra 16yo,8.83,0.22,28,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
High Coast (Box) PX - Pedro Ximénez Finish,8.83,0.19,9,$$$$$,SingleMalt-like,ABC,C,Sweden,Malt
Kavalan Solist Fino Sherry Cask,8.83,0.51,16,$$$$$+,SingleMalt-like,ABC,A,Taiwan,Malt
Longrow Red 12yo Pinot Noir Finish,8.83,0.3,11,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Aberlour A'Bunadh (Batch 32),8.82,0.72,4,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 59),8.82,0.22,4,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 61),8.82,0.21,5,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Glenmorangie Companta,8.82,0.56,14,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Green Spot Chateau Leoville Barton,8.82,0.35,14,$$$$,SingleMalt-like,ABC,C,Ireland,Blend
Amrut PX Sherry Single Cask (all casks),8.81,0.46,17,$$$$,SingleMalt-like,ABC,A,India,Malt
Glenlivet Nadurra Cask Strength (NAS),8.81,0.11,3,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
High Coast (Box) Dalvve Sherry Influence,8.81,0.48,3,$$$$,SingleMalt-like,ABC,C,Sweden,Malt
Longmorn 15yo,8.81,0.41,8,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Smogen Sherry Project 1:4,8.81,0.27,5,$$$$,SingleMalt-like,ABC,C,Sweden,Malt
Aberlour A'Bunadh (Batch 60),8.8,0.23,5,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
GlenDronach 18yo Tawny Port Finish,8.8,0.36,8,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Kavalan Brandy Oak,8.8,0.24,8,$$$$$,SingleMalt-like,ABC,A,Taiwan,Malt
Royal Brackla 21yo,8.8,0.21,5,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Two Brewers Release 09 Special Finishes,8.8,0.4,6,$$$$,SingleMalt-like,ABC,B,Canada,Malt
Bowmore 25yo,8.79,0.5,10,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt
GlenDronach 21yo Parliament,8.79,0.39,29,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Glenfiddich Snow Phoenix,8.79,0.37,13,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt
Glengoyne Teapot Dram (all batches),8.79,0.47,6,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Glenrothes Minister's Reserve,8.79,0.17,6,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Highland Park Full Volume,8.79,0.22,16,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Aberlour A'Bunadh (Batch 48),8.78,0.51,4,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 65),8.78,0.23,3,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Bruichladdich Port Charlotte 2009 MC:01,8.78,0.28,11,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Deanston 2008 Bordeaux Red Wine Cask Matured,8.78,0.2,6,$$$$,SingleMalt-like,ABC,B,Scotland,Malt
Glenmorangie Bacalta,8.78,0.32,8,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Longrow Red 11yo Australian Shiraz,8.78,0.47,10,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Springbank 15yo,8.78,0.23,25,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Aberlour A'Bunadh (Batch 50),8.77,0.37,8,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Glen Garioch 15yo Renaissance Chapter 1,8.77,0.22,8,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Two Brewers Release 02 Special Finishes,8.77,0.51,5,$$$$,SingleMalt-like,ABC,B,Canada,Malt
Balvenie 21yo Port Wood,8.76,0.37,26,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Longrow Red 11yo Cabernet Sauvignon,8.76,0.45,12,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Millstone 12yo Sherry Cask,8.76,0.51,12,$$$$,SingleMalt-like,ABC,C,Netherlands,Malt
Smogen Sherry Project 1:3,8.76,0.26,3,$$$$,SingleMalt-like,ABC,C,Sweden,Malt
Arran Malt Amarone Cask Finish,8.75,0.3,18,$$$,SingleMalt-like,ABC,B,Scotland,Malt
Arran Malt Sassicaia Wine Cask Finish,8.75,0.19,5,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Glenfarclas 25yo,8.75,0.28,23,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Aberlour 18yo,8.74,0.28,15,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Glenfarclas 105,8.74,0.36,33,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Glenfarclas 17yo,8.74,0.26,26,$$$$$,SingleMalt-like,ABC,B,Scotland,Malt
Macallan Classic Cut (all editions),8.74,0.21,15,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Two Brewers Special Finishes (all releases),8.74,0.19,7,$$$$,SingleMalt-like,ABC,B,Canada,Malt
Blue Spot 7yo Cask Strength,8.73,0.11,3,$$$$,SingleMalt-like,ABC,C,Ireland,Malt
Highland Park 15yo Fire,8.73,0.35,11,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt
GlenDronach Cask Strength (batch 5),8.72,0.26,11,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Glengoyne Cask Strength (batch 1),8.72,0.47,4,$$$$,SingleMalt-like,ABC,B,Scotland,Malt
Highland Park Valknut,8.72,0.25,5,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Ledaig 18yo,8.72,0.58,16,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Longmorn 16yo,8.72,0.32,19,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Macallan Ruby,8.72,0.23,14,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Scallywag Cask Strength (all batches),8.72,0.07,5,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Aberlour A'Bunadh (Batch 57),8.71,0.43,8,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Springbank 13yo Green,8.71,0.35,6,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Bunnahabhain 11yo Manzanilla Cask Matured 2008,8.7,0.18,3,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
GlenDronach Cask Strength (batch 7),8.7,0.49,5,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Glenmorangie Nectar d'Or,8.7,0.29,27,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Glenrothes Whisky Maker's Cut,8.7,0.31,7,$$$$,SingleMalt-like,ABC,B,Scotland,Malt
Karuizawa Asama Vintages 1999-2000,8.7,0.52,9,$$$$$+,SingleMalt-like,ABC,C,Japan,Malt
Mortlach 16yo (F&F),8.7,0.27,11,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Sheep Dip 1999 Amoroso Blended Malt,8.7,0.59,3,$$$,SingleMalt-like,ABC,C,Scotland,Malt
Smogen Sherry Project 1:1,8.7,0.11,3,$$$$,SingleMalt-like,ABC,C,Sweden,Malt
Bowmore 10yo Devil's Cask (all batches),8.69,0.4,25,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Deanston 10yo PX Finish,8.69,0.44,5,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Highland Park 15yo,8.69,0.24,19,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Jura Brooklyn,8.69,0.25,7,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Knappogue Castle 16yo Twin Wood,8.69,0.44,7,$$$$,SingleMalt-like,ABC,C,Ireland,Malt
Macallan Rare Cask (all batches),8.69,0.34,14,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt
Macallan Sienna,8.69,0.34,18,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Teerenpeli Distiller’s Choice KARHI,8.69,0.16,3,$$$$,SingleMalt-like,ABC,C,Finland,Malt
Two Brewers Release 15 Special Finishes,8.69,0.28,6,$$$$,SingleMalt-like,ABC,B,Canada,Malt
Amrut Bengal Tiger PX Single Cask (Canada),8.68,0.24,6,$$$$,SingleMalt-like,ABC,C,India,Malt
Mortlach 15yo (Gordon & MacPhail),8.68,0.34,18,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Aberlour A'Bunadh (Batch 38),8.67,0.18,3,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Ben Nevis 10yo Cask Strength,8.67,0.31,5,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Redbreast Lustau Edition,8.67,0.32,20,$$$$,SingleMalt-like,ABC,C,Ireland,Malt
Tomatin Cu Bocan 2005 Limited Edition,8.67,0.45,3,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Aberlour A'Bunadh (Batch 62),8.66,0.33,4,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Arran Malt Madeira Wine Cask,8.66,0.45,12,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Glencadam 14yo Oloroso Sherry Cask Finish,8.66,0.52,5,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Glengoyne Cask Strength (all batches),8.66,0.39,18,$$$$,SingleMalt-like,ABC,B,Scotland,Malt
Glengoyne Cask Strength (batch 2),8.66,0.42,3,$$$$,SingleMalt-like,ABC,B,Scotland,Malt
Glenmorangie The Taghta,8.66,0.33,11,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Oban Distillers Edition (all vintages),8.66,0.31,21,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Red Spot 15yo,8.66,0.36,10,$$$$$,SingleMalt-like,ABC,C,Ireland,Malt
BenRiach 21yo Tawny Port Finish,8.65,0.26,5,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Compass Box The Story of the Spaniard,8.65,0.26,8,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Glen Garioch 15yo Wine Cask Matured,8.65,0.25,5,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
GlenDronach 15yo Tawny Port Finish,8.65,0.51,8,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Ohishi Sherry Single Cask,8.65,0.44,8,$$$$,SingleMalt-like,ABC,C,Japan,Malt
Redbreast Mano a Lámh,8.65,0.37,4,$$$,SingleMalt-like,ABC,C,Ireland,Malt
Sullivans Cove French Oak,8.65,0.31,8,$$$$$+,SingleMalt-like,ABC,C,Tasmania,Malt
Tamdhu Batch Strength (all batches),8.65,0.53,18,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Ardbeg Galileo,8.64,0.58,20,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt
Ben Nevis 18yo The Maltman,8.64,0.34,4,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Bunnahabhain Moine (all bottlings),8.64,0.54,16,$$$,SingleMalt-like,ABC,C,Scotland,Malt
Glenfarclas 21yo,8.64,0.29,19,$$$$$,SingleMalt-like,ABC,B,Scotland,Malt
Glenfiddich 21yo Gran Reserva,8.64,0.39,18,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Longrow Red 14yo Burgundy Wood,8.64,0.64,6,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Balblair 1989,8.63,0.38,12,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Balvenie 17yo Doublewood,8.63,0.31,19,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
BenRiach 12yo Matured in Sherry Wood,8.63,0.21,20,$$$,SingleMalt-like,ABC,B,Scotland,Malt
Benromach 15yo,8.63,0.43,16,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Glenfarclas 15yo,8.63,0.46,24,$$$$,SingleMalt-like,ABC,B,Scotland,Malt
Glenrothes 18yo,8.63,0.33,7,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Tomatin 14yo Portwood,8.63,0.31,15,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Tomatin 18yo,8.63,0.23,17,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Kilchoman Sherry Single Cask,8.62,0.62,17,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Aberlour 16yo Double Cask Matured,8.61,0.17,17,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
AnCnoc 2000,8.61,0.19,4,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Arran Malt Port Cask Finish,8.61,0.35,18,$$$,SingleMalt-like,ABC,C,Scotland,Malt
Glengoyne 18yo,8.61,0.34,19,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Hazelburn 12yo (Springbank),8.61,0.35,19,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Highland Park Valkyrie,8.61,0.21,11,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Macallan 25yo Fine Oak,8.61,0.28,3,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt
Swiss Highland Classic Single Malt,8.61,0.39,4,$$$$$,SingleMalt-like,ABC,C,Switzerland,Malt
Timorous Beastie 12yo Cask Strength,8.61,0.1,3,$$$,SingleMalt-like,ABC,C,Scotland,Malt
